team,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
vs Houston Dynamo,23,27.5,47.5,10,110,900,10.0,14,11,25,13,1,1,26,2,13.5,12.8,10.0,22.7,141,397,1.40,1.10,2.50,1.30,2.40,1.35,1.00,2.35,1.28,2.27
vs Inter Miami,25,27.5,47.2,9,99,810,9.0,10,7,17,10,0,0,17,0,13.1,13.1,10.4,23.5,111,395,1.11,0.78,1.89,1.11,1.89,1.46,1.16,2.62,1.46,2.62
vs LA Galaxy,24,26.9,48.1,10,110,900,10.0,20,12,32,17,3,4,22,1,19.6,16.5,10.6,27.1,153,432,2.00,1.20,3.20,1.70,2.90,1.96,1.06,3.03,1.65,2.71
vs LAFC,24,27.6,46.8,10,110,900,10.0,15,13,28,14,1,1,26,1,13.8,13.0,9.9,22.9,173,373,1.50,1.30,2.80,1.40,2.70,1.38,0.99,2.37,1.30,2.29
vs Minnesota Utd,23,27.2,62.1,10,110,900,10.0,9,8,17,9,0,1,15,0,10.7,9.9,7.5,17.4,210,516,0.90,0.80,1.70,0.90,1.70,1.07,0.75,1.82,0.99,1.74
vs Nashville SC,21,26.7,49.3,10,110,900,10.0,13,7,20,11,2,3,24,1,12.4,9.9,7.3,17.2,153,332,1.30,0.70,2.00,1.10,1.80,1.24,0.73,1.97,0.99,1.72
vs NE Revolution,21,27.4,53.9,9,99,810,9.0,7,6,13,7,0,0,19,0,12.3,12.3,10.3,22.6,159,387,0.78,0.67,1.44,0.78,1.44,1.37,1.14,2.51,1.37,2.51
vs NY Red Bulls,24,27.4,48.0,10,110,900,10.0,9,7,16,8,1,1,21,1,12.7,12.0,9.9,21.9,142,371,0.90,0.70,1.60,0.80,1.50,1.27,0.99,2.26,1.20,2.19
vs NYCFC,20,27.9,47.8,10,110,900,10.0,11,9,20,11,0,0,15,1,13.8,13.8,11.5,25.3,176,411,1.10,0.90,2.00,1.10,2.00,1.38,1.15,2.53,1.38,2.53
vs Orlando City,23,27.0,53.1,10,110,900,10.0,12,8,20,11,1,1,22,1,13.7,13.0,10.3,23.2,146,458,1.20,0.80,2.00,1.10,1.90,1.37,1.03,2.40,1.30,2.32
vs Philadelphia Union,22,27.7,51.2,10,110,900,10.0,9,7,16,8,1,1,26,1,11.2,10.4,7.9,18.3,106,323,0.90,0.70,1.60,0.80,1.50,1.12,0.79,1.91,1.04,1.83
vs Portland Timbers,22,27.8,53.2,10,110,900,10.0,15,10,25,13,2,5,16,0,16.6,12.6,11.0,23.6,192,460,1.50,1.00,2.50,1.30,2.30,1.66,1.10,2.75,1.26,2.36
vs Real Salt Lake,24,28.0,46.7,10,110,900,10.0,15,10,25,13,2,3,30,0,17.6,15.2,11.4,26.6,136,398,1.50,1.00,2.50,1.30,2.30,1.76,1.14,2.90,1.52,2.66
vs San Diego FC,23,27.2,41.8,10,110,900,10.0,15,9,24,12,3,3,26,3,17.4,15.3,13.0,28.2,124,255,1.50,0.90,2.40,1.20,2.10,1.74,1.30,3.04,1.53,2.82
vs Seattle Sounders,24,27.6,45.8,10,110,900,10.0,10,5,15,10,0,0,21,0,9.8,9.8,7.4,17.2,141,343,1.00,0.50,1.50,1.00,1.50,0.98,0.74,1.72,0.98,1.72
vs SJ Earthquakes,25,27.5,51.0,10,110,900,10.0,19,14,33,18,1,1,18,1,19.9,19.2,16.0,35.1,161,398,1.90,1.40,3.30,1.80,3.20,1.99,1.60,3.59,1.92,3.51
vs Sporting KC,22,27.7,47.7,10,110,900,10.0,20,14,34,18,2,2,26,1,16.5,14.9,11.4,26.3,142,333,2.00,1.40,3.40,1.80,3.20,1.65,1.14,2.78,1.49,2.63
vs St. Louis,21,27.1,57.7,10,110,900,10.0,8,7,15,8,0,1,23,0,13.8,13.0,10.8,23.7,177,462,0.80,0.70,1.50,0.80,1.50,1.38,1.08,2.45,1.30,2.37
vs Toronto FC,25,26.8,55.2,10,110,900,10.0,14,9,23,11,3,3,18,2,13.6,11.2,9.2,20.4,150,444,1.40,0.90,2.30,1.10,2.00,1.36,0.92,2.28,1.12,2.04
vs Vancouver W'caps,25,27.1,44.8,10,110,900,10.0,7,3,10,7,0,0,18,1,9.0,9.0,6.2,15.2,115,294,0.70,0.30,1.00,0.70,1.00,0.90,0.62,1.52,0.90,1.52
