team,players_used,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
vs Nashville SC,1,10.0,19,4,0,3,0,20.5,0.22,+1.5,+0.15,35,104,33.7,297,52,28.6,30.9,70,27.1,29.2,122,5,4.1,10,1.00,15.1
vs NE Revolution,1,9.0,7,2,1,1,1,7.2,0.18,+1.2,+0.13,24,80,30.0,247,44,26.7,29.7,47,29.8,30.7,126,6,4.8,11,1.22,16.0
vs NY Red Bulls,2,10.0,11,3,0,2,0,14.7,0.29,+3.7,+0.37,42,122,34.4,253,39,34.0,33.3,72,50.0,39.8,113,9,8.0,8,0.80,13.4
vs NYCFC,1,10.0,12,2,0,1,0,12.0,0.27,0.0,0.00,34,108,31.5,211,29,35.5,33.5,81,40.7,36.9,122,2,1.6,15,1.50,19.3
vs Orlando City,2,10.0,18,2,2,1,0,16.0,0.29,-2.0,-0.20,38,108,35.2,218,46,39.0,35.3,64,35.9,32.5,104,8,7.7,17,1.70,17.7
vs Philadelphia Union,2,10.0,19,0,0,3,0,18.6,0.33,-0.4,-0.04,51,134,38.1,253,67,37.5,34.8,88,44.3,35.1,179,12,6.7,14,1.40,13.2
vs Portland Timbers,2,10.0,20,2,1,2,2,14.5,0.27,-3.5,-0.35,32,101,31.7,249,45,30.5,32.7,49,51.0,41.0,95,2,2.1,8,0.80,14.6
vs Real Salt Lake,1,10.0,11,1,0,0,1,10.9,0.23,+0.9,+0.09,33,114,28.9,242,32,32.6,31.7,76,46.1,38.6,114,8,7.0,9,0.90,15.8
vs San Diego FC,1,10.0,16,1,0,2,0,14.6,0.31,-1.4,-0.14,38,129,29.5,328,48,29.9,33.3,77,40.3,36.6,125,9,7.2,10,1.00,13.8
vs Seattle Sounders,2,10.0,13,0,0,2,0,14.6,0.29,+1.6,+0.16,48,131,36.6,267,49,37.5,33.9,77,40.3,35.2,149,5,3.4,17,1.70,14.3
vs SJ Earthquakes,2,10.0,20,3,0,4,0,19.7,0.31,-0.3,-0.03,56,197,28.4,271,41,50.9,38.9,103,57.3,46.4,176,7,4.0,8,0.80,13.5
vs Sporting KC,1,10.0,16,2,1,0,1,13.1,0.28,-1.9,-0.19,53,145,36.6,249,47,49.4,38.2,71,31.0,29.9,156,5,3.2,2,0.20,9.6
vs St. Louis,2,10.0,7,0,1,1,1,11.8,0.35,+5.8,+0.58,42,136,30.9,262,36,39.7,36.1,58,55.2,44.2,130,5,3.8,12,1.20,13.9
vs Toronto FC,1,10.0,8,1,0,1,0,8.4,0.28,+0.4,+0.04,35,84,41.7,220,36,31.8,33.1,66,21.2,29.2,111,3,2.7,10,1.00,14.6
vs Vancouver W'caps,1,10.0,20,0,0,3,0,19.9,0.35,-0.1,-0.01,51,132,38.6,272,33,36.4,33.6,81,40.7,36.2,165,10,6.1,4,0.40,11.1
